A3811,2015/12/02,2016/01/07,753869,933,罹癌難扛家 漁夫望海嘆氣,向高彬,http://www.appledaily.com.tw/appledaily/article/headline/20151202/36929494,http://search.appledaily.com.tw/charity/projdetail/proj/A3811
A3810,2015/12/01,2016/01/08,638893,831,女遇恐攻重傷「人生走樣」,韓旭爾,http://www.appledaily.com.tw/appledaily/article/headline/20151201/36928380,http://search.appledaily.com.tw/charity/projdetail/proj/A3810
A3809,2015/11/30,2016/01/08,856458,1132,憨女罹癌 殘父難扛醫費,張嘉恬,http://www.appledaily.com.tw/appledaily/article/headline/20151130/36926377,http://search.appledaily.com.tw/charity/projdetail/proj/A3809
A3808,2015/11/27,2015/12/28,803370,1051,女休學顧癱母 父又病倒,楊光翔,http://www.appledaily.com.tw/appledaily/article/headline/20151127/36921126,http://search.appledaily.com.tw/charity/projdetail/proj/A3808
A3807,2015/11/26,2015/12/28,793410,976,中風父罹癌 3口擠陋屋,韓旭爾,http://www.appledaily.com.tw/appledaily/article/headline/20151126/36918961,http://search.appledaily.com.tw/charity/projdetail/proj/A3807
A3806,2015/11/25,2015/12/28,728194,990,父等換肝 孝女休學扛家,楊光翔,http://www.appledaily.com.tw/appledaily/article/headline/20151125/36916743,http://search.appledaily.com.tw/charity/projdetail/proj/A3806
A3805,2015/11/24,2015/12/28,821788,1041,病榻喚癱父 16歲兒茫然,向高彬,http://www.appledaily.com.tw/appledaily/article/headline/20151124/36915286,http://search.appledaily.com.tw/charity/projdetail/proj/A3805
A3804,2015/11/23,2015/12/28,814479,952,1歲女罹重病 復健路遙,張嘉恬,http://www.appledaily.com.tw/appledaily/article/headline/20151123/36913694,http://search.appledaily.com.tw/charity/projdetail/proj/A3804
A3802,2015/11/20,2015/12/21,845685,1049,風災戶少女 日夜顧病母,韓旭爾,http://www.appledaily.com.tw/appledaily/article/headline/20151120/36909130,http://search.appledaily.com.tw/charity/projdetail/proj/A3802
A3801,2015/11/19,2015/12/22,824373,1126,兒癱夫漸凍 嬤苦撐4口,向高彬,http://www.appledaily.com.tw/appledaily/article/headline/20151119/36906703,http://search.appledaily.com.tw/charity/projdetail/proj/A3801
A3799,2015/11/18,2015/12/21,787396,1024,稚兒伴癌父 白粥配罐頭,韓旭爾,http://www.appledaily.com.tw/appledaily/article/headline/20151118/36904058,http://search.appledaily.com.tw/charity/projdetail/proj/A3799
A3800,2015/11/17,2015/12/22,678354,857,避風港燒光 7口愁重建費,張嘉恬,http://www.appledaily.com.tw/appledaily/article/headline/20151117/36902290,http://search.appledaily.com.tw/charity/projdetail/proj/A3800
A3798,2015/11/16,2015/12/18,792286,1080,扛家父罹癌 憂孩子怎辦,李佳玲,http://www.appledaily.com.tw/appledaily/article/headline/20151116/36900920,http://search.appledaily.com.tw/charity/projdetail/proj/A3798
A3796,2015/11/13,2015/12/15,1019398,1200,不捨癱母 半盲癌男：她應享福,向高彬,http://www.appledaily.com.tw/appledaily/article/headline/20151113/36896559,http://search.appledaily.com.tw/charity/projdetail/proj/A3796
A3797,2015/11/12,2015/12/14,650500,896,苦撐顧癱夫 妻累倒撞傷,楊光翔,http://www.appledaily.com.tw/appledaily/article/headline/20151112/36894056,http://search.appledaily.com.tw/charity/projdetail/proj/A3797
A3795,2015/11/11,2015/12/14,636851,854,老農跌傷開刀 拼個希望,張嘉恬,http://www.appledaily.com.tw/appledaily/article/headline/20151111/36891231,http://search.appledaily.com.tw/charity/projdetail/proj/A3795
